"id","district_id","city"
750,30,Bela
751,120,Belaganj
752,230,BELAGAVI
753,323,Belaghar
754,409,Belargaon
755,229,Belchhi
756,410,Beldanga - I
757,410,Beldanga - II
758,86,Beldaur
759,411,Belgahana
760,117,Belhar
761,113,Bellamkonda
762,412,Bellampally
763,413,Belonia
764,271,Belpahar
765,315,Belpara
766,305,Belsand
767,358,Beltangadi
768,411,Beltara
769,306,Belthara Road
770,165,Beluguppa
771,106,Belur
772,414,Bemetara
773,222,Ben
774,291,Bengabad
775,175,Bengaluru East
776,175,Bengaluru North
777,175,Bengaluru South
778,415,Bengtol
779,172,Benipatti
780,92,Benipur
781,416,Beohari
782,417,Berasia
783,410,Berhampore
784,316,Berhampur
785,270,Beri
786,345,Berinag
787,418,Beri Pattan
788,414,Berla
789,419,Bermo
790,177,Bero
791,197,Bestawaripeta
792,420,Betalghat
793,258,Betanati
794,421,Betasing
795,97,Bethamcherla
796,278,Bettiah
797,145,Betul
798,145,Betul Nagar
799,144,Bhabhar
800,28,Bhabua
801,6,Bhachau
802,220,Bhaderwah
803,378,Bhadesar
804,112,Bhadgaon
805,240,Bhadohi
806,422,Bhadra
807,99,Bhadrachalam
808,50,Bhadrajun
809,39,Bhadrak Rural
810,423,Bhadravati
811,329,Bhadravati
812,244,Bhadrota
813,410,Bhagawangola - I
814,410,Bhagawangola - II
815,424,Bhagawanpur - I
816,424,Bhagawanpur - II
817,220,Bhagwah
818,28,Bhagwanpur
819,425,Bhagwanpur
820,254,Bhagwanpur
821,426,Bhagwanpur
822,385,Bhagwanpura
823,170,Bhagwanpur Hat
824,390,Bhainsa
825,145,Bhainsdehi
826,341,Bhairabsingipur
827,427,Bhairamgarh
828,59,Bhaisma
829,428,Bhaiyathan
830,409,Bhakhara
831,429,Bhalai
832,220,Bhalessa
833,238,Bhalki
834,220,Bhalla
835,320,Bhalukpong EAC
836,69,Bhalwal
837,326,Bhamini
838,46,Bhamragad
839,430,Bhandara
840,56,Bhandari
841,368,Bhandaria
842,39,Bhandari Pokhari
843,275,Bhander
844,431,Bhandra
845,384,Bhangar - I
846,384,Bhangar - II
847,432,Bhanipura
848,433,Bhaniyana
849,201,BHANJANAGAR
850,102,Bhanoli
851,394,Bhanpur
852,434,Bhanpura
853,311,Bhanpuri
854,181,Bhanupratappur
855,435,Bhanvad
856,411,Bharari
857,220,Bharath Bagla
858,403,Bharatpur
859,437,Bharatpur
860,410,Bharatpur - I
861,410,Bharatpur - II
862,194,Bhargama
863,429,Bharmour
864,87,BHARNO
865,438,Bharthana
866,150,Bharuch
867,121,Bharwain
868,343,Bhasma
869,330,Bhatapara
870,243,Bhatar
871,428,Bhatgaon
872,364,Bhatgaon
873,180,Bhatkal
874,13,Bhatkuli
875,122,Bhatli
876,371,Bhatpar Rani
877,25,Bhattiprolu
878,429,Bhattiyat
879,439,Bhattukalan ST
880,382,Bhatwari
881,184,Bhavani
882,440,Bhavnagar
883,95,Bhavra
884,441,BHAWANIGARH
885,151,Bhawanipur
886,79,Bhawarna
887,368,Bhawnathpur
888,122,Bheden
889,228,Bheemadevarpalli
890,412,Bheemaram
891,203,Bheemgal
892,412,Bheemini
893,30,BHEEMPUR
894,161,Bheemunipatnam
895,220,Bhella
896,442,Bhesan
897,443,BhicholiHapsi
898,385,Bhikangaon
899,444,BHIKHIWIND
900,102,Bhikiasain
901,357,Bhiknoor
902,47,Bhilai
903,402,Bhiloda
904,217,Bhilwara
905,140,Bhim
906,44,Bhimadole
907,15,Bhimavaram
908,414,Bhimbhauri
909,145,Bhimpur
910,62,Bhinay
911,225,Bhind
912,264,Bhindar
913,225,Bhind Nagar
914,445,Bhinga
915,50,Bhinmal
916,278,Bhitaha
917,446,Bhitarwar
918,68,Bhiti
919,129,Bhiwandi
920,294,Bhiwani
921,447,Bhiwapur
922,448,Bhogaon
923,259,Bhogapuram
924,67,Bhognipur
925,316,Bhograi
926,449,Bhoirymbong
927,196,Bhokar
928,123,Bhokardan
929,204,Bhomag
930,23,Bhongir
931,24,Bhoothpur
932,4,Bhopalgarh
933,427,Bhopalpattnam
934,378,BHOPALSAGAR
935,132,Bhor
936,383,Bhoranj
937,302,Bhorey
938,383,Bhota
939,292,Bhowraguri
940,327,Bhuban
941,55,Bhubaneswar (M.Corp.)
942,64,Bhudargad
943,6,Bhuj
944,450,Bhulath
945,451,Bhum
946,439,Bhuna ST
947,178,Bhuntar
948,452,Bhupalpally
949,453,Bhuragaon
950,327,Bhusan Steel Limited
951,112,Bhusawal
952,403,Bhusawar
953,454,Bhuvanagiri
954,455,Biaora
955,456,Bibhutpur
956,23,Bibinagar
957,357,Bibipet
958,168,Biccavolu
959,457,Bichhiya
960,119,Bichhua
961,218,BICHIWARA
962,357,Bichkunda
963,367,Bicholim
964,238,Bidar
965,432,BIDASAR
966,60,Bidhuna
967,426,Bidupur
968,347,Bighapur
969,222,Bihar
970,78,Bihariganj
971,428,BIHARPUR
972,458,Bihpur
973,459,Bihpuria
974,229,Bihta
975,302,Bijaipur
976,427,Bijapur
977,256,Bijawar
978,167,Bijbehara
